"","Temperature","393b","method"
"595",59.3,3.01524796170115,"Outer"
"596",59.4,3.08078140821168,"Outer"
"597",59.5,3.14725446766586,"Outer"
"598",59.6,3.21584842114064,"Outer"
"599",59.7,3.28774458463286,"Outer"
"600",59.8,3.36391256232021,"Outer"
"601",59.9,3.44366703228807,"Outer"
"602",60,3.52554408435515,"Outer"
"603",60.1,3.60811612836736,"Outer"
"604",60.2,3.69140231810772,"Outer"
"605",60.3,3.77722318746536,"Outer"
"606",60.4,3.86751212303407,"Outer"
"607",60.5,3.96419020544344,"Outer"
"608",60.6,4.06768064507925,"Outer"
"609",60.7,4.17549279408407,"Outer"
"610",60.8,4.28480055401575,"Outer"
"611",60.9,4.3932537240112,"Outer"
"612",61,4.5009521060463,"Outer"
"613",61.1,4.60878168890583,"Outer"
"614",61.2,4.71762882518829,"Outer"
"615",61.3,4.82835701182672,"Outer"
"616",61.4,4.94160670921313,"Outer"
"617",61.5,5.05789244973624,"Outer"
"618",61.6,5.17771346442538,"Outer"
"619",61.7,5.30097105109786,"Outer"
"620",61.8,5.42675421839334,"Outer"
"621",61.9,5.55409395842154,"Outer"
"622",62,5.68202313418515,"Outer"
"623",62.1,5.80989917008389,"Outer"
"624",62.2,5.93777108240973,"Outer"
"625",62.3,6.06577661939336,"Outer"
"626",62.4,6.19414381088888,"Outer"
"627",62.5,6.32361486954618,"Outer"
"628",62.6,6.45511377808381,"Outer"
"629",62.7,6.58956472841797,"Outer"
"630",62.8,6.72781886554542,"Outer"
"631",62.9,6.87001466736908,"Outer"
"632",63,7.01588830602835,"Outer"
"633",63.1,7.16517141492352,"Outer"
"634",63.2,7.31752783135804,"Outer"
"635",63.3,7.47117485978538,"Outer"
"636",63.4,7.62294328312601,"Outer"
"637",63.5,7.76961332767735,"Outer"
"638",63.6,7.90935860651596,"Outer"
"639",63.7,8.04361449117016,"Outer"
"640",63.8,8.17428240792361,"Outer"
"641",63.9,8.30326378312241,"Outer"
"642",64,8.43247516721385,"Outer"
"643",64.1,8.56389072135116,"Outer"
"644",64.2,8.69949832203693,"Outer"
"645",64.3,8.84091456276954,"Outer"
